"frequency","CURRENT_concept","NEW_concept","CURRENT_metaOntology","NEW_metaOntology","CURRENT_metaType","NEW_metaType"
"1","inabandona",,"unknown",,,
"1","sea_brothers",,"agent",,,
"3","firm",,"UNKNOWN",,,
"7","lieutenant",,"UNKNOWN",,,
"9","receiv",,"UNKNOWN",,,
"1","translat",,"UNKNOWN",,,
"2","boat",,"unknown",,,
"82","sank",,"UNKNOWN",,,
"2","yards",,"unknown",,,
"3","bakit",,"unknown",,,
"1","inland",,"UNKNOWN",,,
"1","insufficient",,"UNKNOWN",,,
"8","history",,"unknown",,,
"1","anak",,"unknown",,,
"1","araw",,"UNKNOWN",,,
"16","provincial",,"UNKNOWN",,,
"1","supplementary_fund_protocol",,"agent",,,
"2","encount",,"unknown",,,
"1","postpon",,"UNKNOWN",,,
"3","fuels",,"unknown",,,
"1","talaga",,"unknown",,,
"3","engag",,"unknown",,,
"11","vendors",,"UNKNOWN",,,
"1","bound",,"task",,,
"1","ocd",,"unknown",,,
"1","naramdaman",,"unknown",,,
"1","warrant",,"unknown",,,
"4","body",,"unknown",,,
"1","breed",,"UNKNOWN",,,
"1","namamakyaw",,"unknown",,,
"2","stall",,"UNKNOWN",,,
"2","sasabihin",,"UNKNOWN",,,
"3","come_to",,"UNKNOWN",,,
"1","argu",,"UNKNOWN",,,
"1","circl",,"UNKNOWN",,,
"9","incorpor",,"UNKNOWN",,,
"1","make_it",,"UNKNOWN",,,
"1","impossible",,"unknown",,,
"1","completion",,"UNKNOWN",,,
"1","katanungang",,"UNKNOWN",,,
"14","paihi",,"unknown",,,
"3","refer_to",,"UNKNOWN",,,
"5","close",,"UNKNOWN",,,
"2","passage",,"UNKNOWN",,,
"1","occurrences",,"UNKNOWN",,,
"4","pola",,"UNKNOWN",,,
"1","nasugbu",,"UNKNOWN",,,
"2","magracia",,"UNKNOWN",,,
"6","light",,"unknown",,,
"1","commercially-available",,"unknown",,,
"2","key",,"unknown",,,
"1","renown",,"UNKNOWN",,,
"1","mark_salazar",,"agent",,,
"1","claims",,"UNKNOWN",,,
"1","gatchalian",,"unknown",,,
"1","packages",,"unknown",,,
"1","pagkakaisa",,"UNKNOWN",,,
"2","manually",,"UNKNOWN",,,
"4","oras",,"unknown",,,
"2","habagat",,"unknown",,,
"2","pccg",,"UNKNOWN",,,
"1","grave",,"UNKNOWN",,,
"1","sala",,"UNKNOWN",,,
"1","agent",,"unknown",,,
"1","lucena_city",,"organization",,,
"1","sale",,"UNKNOWN",,,
"1","fleet",,"unknown",,,
"2","investigations",,"UNKNOWN",,,
"1","cough",,"UNKNOWN",,,
"1","dikes",,"UNKNOWN",,,
"2","considerably",,"UNKNOWN",,,
"1","near",,"UNKNOWN",,,
"1","alliance_holdings",,"organization",,,
"1","better",,"unknown",,,
"1","pagkakatali",,"unknown",,,
"1","example",,"UNKNOWN",,,
"1","gef",,"unknown",,,
"1","tranquility",,"unknown",,,
"2","thing",,"UNKNOWN",,,
"2","pambansang",,"UNKNOWN",,,
"1","barge",,"unknown",,,
"47","sunken",,"agent",,,
"3","carefully",,"UNKNOWN",,,
"2","protective",,"UNKNOWN",,,
"40","department",,"agent",,,
"7","set",,"unknown",,,
"1","40am",,"UNKNOWN",,,
"3","today",,"UNKNOWN",,,
"11","wala",,"unknown",,,
"3","safely",,"UNKNOWN",,,
"1","msu-iit",,"UNKNOWN",,,
"1","bottom-set",,"unknown",,,
"1","pong",,"UNKNOWN",,,
"3","seals",,"unknown",,,
"5","organization",,"unknown",,,
"3","monitors",,"UNKNOWN",,,
"28","area",,"UNKNOWN",,,
"8","releas",,"UNKNOWN",,,
"1","circulation",,"UNKNOWN",,,
"1","tuloy-tuloy",,"UNKNOWN",,,
"1","mindanao_state_university-iligan_institute",,"organization",,,
"4","types",,"UNKNOWN",,,
"3","nito",,"unknown",,,
"1","makapagpatupad",,"unknown",,,
"3","individuals",,"unknown",,,
"38","mt_terra_nova",,"agent",,,
"1","restoration",,"UNKNOWN",,,
"5","provincial_social_welfare",,"agent",,,
"5","instal",,"unknown",,,
"19","sea",,"unknown",,,
"1","persons",,"unknown",,,
"5","sightings",,"unknown",,,
"1","message",,"UNKNOWN",,,
"1","tuesdays",,"UNKNOWN",,,
"1","recap",,"UNKNOWN",,,
"1","in_general",,"UNKNOWN",,,
"1","umaga",,"UNKNOWN",,,
"1","mission",,"UNKNOWN",,,
"24","valves",,"unknown",,,
"2","kahapon",,"UNKNOWN",,,
"14","civil_defense_calabarzon",,"agent",,,
"1","magbubukas",,"UNKNOWN",,,
"6","suit",,"unknown",,,
"3","siguro",,"unknown",,,
"1","visits",,"UNKNOWN",,,
"3","nangyari",,"unknown",,,
"1","limays",,"UNKNOWN",,,
"2","disrupts",,"unknown",,,
"117","tanker",,"UNKNOWN",,,
"1","yield",,"task",,,
"1","stations",,"unknown",,,
"16","concern",,"unknown",,,
"5","bangus",,"unknown",,,
"1","curb",,"UNKNOWN",,,
"2","court",,"UNKNOWN",,,
"1","impose",,"UNKNOWN",,,
"5","kasama",,"unknown",,,
"1","birds",,"unknown",,,
"1","cure",,"UNKNOWN",,,
"17","operation",,"UNKNOWN",,,
"1","break",,"UNKNOWN",,,
"2","weekend",,"unknown",,,
"2","agac",,"UNKNOWN",,,
"1","occurrence",,"UNKNOWN",,,
"1","import",,"UNKNOWN",,,
"1","francis_tolentino",,"agent",,,
"2","worth",,"UNKNOWN",,,
"8","central",,"UNKNOWN",,,
"1","philippines—with",,"UNKNOWN",,,
"1","programs",,"UNKNOWN",,,
"1","ring",,"UNKNOWN",,,
"18","would_be",,"UNKNOWN",,,
"1","structure",,"UNKNOWN",,,
"4","ecological",,"UNKNOWN",,,
"1","distrito",,"UNKNOWN",,,
"7","remov",,"UNKNOWN",,,
"1","heighten",,"UNKNOWN",,,
"6","accountable",,"UNKNOWN",,,
"13","provinces",,"UNKNOWN",,,
"2","terra",,"UNKNOWN",,,
"1","discount",,"UNKNOWN",,,
"3","destination",,"UNKNOWN",,,
"6","include",,"UNKNOWN",,,
"1","funds",,"UNKNOWN",,,
"1","traffic",,"UNKNOWN",,,
"14","earlier",,"UNKNOWN",,,
"2","karagatan",,"UNKNOWN",,,
"1","ilalahad",,"UNKNOWN",,,
"4","set_up",,"UNKNOWN",,,
"11","measures",,"UNKNOWN",,,
"2","evaluations",,"UNKNOWN",,,
"2","records",,"UNKNOWN",,,
"3","abandon",,"UNKNOWN",,,
"1","delivery",,"UNKNOWN",,,
"6","internal_revenue",,"agent",,,
"6","winds",,"UNKNOWN",,,
"1","international_tanker_owners_pollution_federation",,"agent",,,
"3","satellite",,"UNKNOWN",,,
"2","creation",,"UNKNOWN",,,
"1","subject",,"UNKNOWN",,,
"1","moment",,"UNKNOWN",,,
"2","upang",,"UNKNOWN",,,
"1","two-week",,"UNKNOWN",,,
"2","coral_reef",,"UNKNOWN",,,
"3","44-meter",,"UNKNOWN",,,
"1","transpir",,"UNKNOWN",,,
"6","protect",,"UNKNOWN",,,
"1","come_in",,"UNKNOWN",,,
"1","bagac",,"UNKNOWN",,,
"1","oysters",,"UNKNOWN",,,
"3","heard",,"UNKNOWN",,,
"18","shellfish",,"UNKNOWN",,,
"10","out_of",,"UNKNOWN",,,
"1","counsel",,"UNKNOWN",,,
"6","cynthia_villar",,"agent",,,
"1","files",,"UNKNOWN",,,
"1","clock",,"UNKNOWN",,,
"2","larger",,"UNKNOWN",,,
"1","macabebe",,"UNKNOWN",,,
"2","imbestigasyon",,"UNKNOWN",,,
"1","—vince",,"UNKNOWN",,,
"3","oil_tanker_mt_terranova",,"agent",,,
"1","polycylic",,"UNKNOWN",,,
"2","noscop",,"UNKNOWN",,,
"12","interview",,"UNKNOWN",,,
"2","healthy",,"UNKNOWN",,,
"1","press_statement",,"UNKNOWN",,,
"1","long_time",,"UNKNOWN",,,
"3","chairperson",,"agent",,,
"1","signatory",,"UNKNOWN",,,
"1","fabricate",,"UNKNOWN",,,
"1","negligence",,"UNKNOWN",,,
"2","clean_up",,"UNKNOWN",,,
"2","sumalok",,"UNKNOWN",,,
"4","replacement",,"UNKNOWN",,,
"1","late—one",,"UNKNOWN",,,
"2","husks",,"UNKNOWN",,,
"2","lgus",,"UNKNOWN",,,
"3","location",,"UNKNOWN",,,
"4","remains",,"UNKNOWN",,,
"1","resulta",,"UNKNOWN",,,
"1","integrity",,"UNKNOWN",,,
"1","deeply",,"UNKNOWN",,,
"1","study",,"UNKNOWN",,,
"1","procedures",,"UNKNOWN",,,
"2","prior",,"UNKNOWN",,,
"1","ternate—",,"UNKNOWN",,,
"1","occidental",,"unknown",,,
"2","barriers",,"UNKNOWN",,,
"1","level",,"UNKNOWN",,,
"1","cavite-bas",,"UNKNOWN",,,
"1","gather",,"UNKNOWN",,,
"1","facebook",,"UNKNOWN",,,
"1","sets",,"UNKNOWN",,,
"5","official",,"UNKNOWN",,,
"23","pampanga",,"unknown",,,
"9","pcg_national_capital_region",,"agent",,,
"7","protection",,"UNKNOWN",,,
"3","appropriate",,"UNKNOWN",,,
"5","salvor_harbor_star",,"agent",,,
"8","heavy",,"UNKNOWN",,,
"2","p200",,"UNKNOWN",,,
"1","wade",,"UNKNOWN",,,
"2","professional",,"UNKNOWN",,,
"18","statement",,"UNKNOWN",,,
"1","spills—some",,"UNKNOWN",,,
"1","fact-find",,"UNKNOWN",,,
"25","lamao",,"unknown",,,
"5","up_msi",,"organization",,,
"1","operate",,"UNKNOWN",,,
"1","laman",,"UNKNOWN",,,
"1","issues",,"UNKNOWN",,,
"1","pagdat",,"UNKNOWN",,,
"2","likes",,"UNKNOWN",,,
"1","kinakailangan",,"UNKNOWN",,,
"7","bulletin",,"UNKNOWN",,,
"10","ongo",,"UNKNOWN",,,
"1","thin",,"UNKNOWN",,,
"3","release",,"UNKNOWN",,,
"1","run_aground",,"UNKNOWN",,,
"3","kailangan",,"UNKNOWN",,,
"1","ibig",,"UNKNOWN",,,
"1","plummet",,"UNKNOWN",,,
"1","equivalent",,"UNKNOWN",,,
"1","bamboo",,"UNKNOWN",,,
"2","laguna",,"UNKNOWN",,,
"1","sindikato",,"UNKNOWN",,,
"10","san_miguel",,"agent",,,
"4","nila",,"UNKNOWN",,,
"6","includes",,"UNKNOWN",,,
"14","affect",,"UNKNOWN",,,
"1","stabilize",,"UNKNOWN",,,
"1","network",,"UNKNOWN",,,
"5","smaller",,"UNKNOWN",,,
"3","worri",,"UNKNOWN",,,
"1","to_come",,"UNKNOWN",,,
"2","online",,"agent",,,
"19","risk",,"UNKNOWN",,,
"2","real",,"UNKNOWN",,,
"2","passeng",,"UNKNOWN",,,
"1","staff",,"UNKNOWN",,,
"4","set_to",,"UNKNOWN",,,
"1","poverty",,"UNKNOWN",,,
"2","hanapbuhay",,"UNKNOWN",,,
"2","scoop",,"UNKNOWN",,,
"4","guimaras",,"UNKNOWN",,,
"1","hiyas",,"UNKNOWN",,,
"32","read",,"UNKNOWN",,,
"1","international_charter_space",,"agent",,,
"1","bancal",,"UNKNOWN",,,
"1","ill-fat",,"UNKNOWN",,,
"3","receive",,"UNKNOWN",,,
"4","at_sea",,"UNKNOWN",,,
"1","dzrh",,"unknown",,,
"1","healthcare",,"UNKNOWN",,,
"1","rehabilitation",,"UNKNOWN",,,
"2","application",,"UNKNOWN",,,
"2","standard",,"UNKNOWN",,,
"1","governors",,"UNKNOWN",,,
"10","worst",,"UNKNOWN",,,
"5","rear",,"UNKNOWN",,,
"2","paombong",,"UNKNOWN",,,
"4","deal_with",,"UNKNOWN",,,
"1","avert",,"UNKNOWN",,,
"11","kiko_laurel_ng_da",,"agent",,,
"1","liabiility",,"UNKNOWN",,,
"3","felt",,"UNKNOWN",,,
"2","threatens",,"UNKNOWN",,,
"4","fossil",,"UNKNOWN",,,
"2","wag",,"UNKNOWN",,,
"1","rita",,"UNKNOWN",,,
"2","worry",,"UNKNOWN",,,
"1","san_miguel_group",,"organization",,,
"2","manpow",,"UNKNOWN",,,
"7","cleanup",,"UNKNOWN",,,
"2","compound",,"UNKNOWN",,,
"1","ginagamit",,"UNKNOWN",,,
"1","fight",,"UNKNOWN",,,
"1","sinabi",,"UNKNOWN",,,
"2","hopefully",,"UNKNOWN",,,
"2","advis",,"UNKNOWN",,,
"1","installation",,"UNKNOWN",,,
"1","delfin",,"UNKNOWN",,,
"8","recov",,"UNKNOWN",,,
"1","exposures",,"UNKNOWN",,,
"1","merchants",,"UNKNOWN",,,
"2","danger",,"UNKNOWN",,,
"16","barangay",,"UNKNOWN",,,
"1","resell",,"UNKNOWN",,,
"2","anticipate",,"UNKNOWN",,,
"41","capsiz",,"UNKNOWN",,,
"3","patuloy",,"UNKNOWN",,,
"18","happen",,"UNKNOWN",,,
"1","on_the_lookout",,"UNKNOWN",,,
"2","turn",,"UNKNOWN",,,
"2","disturbance",,"UNKNOWN",,,
"41","mtkr_jason_bradley",,"agent",,,
"4","ganchoon",,"unknown",,,
"1","andito",,"UNKNOWN",,,
"1","magdedeklara",,"UNKNOWN",,,
"26","involv",,"UNKNOWN",,,
"10","impacts",,"UNKNOWN",,,
"44","vessels",,"unknown",,,
"1","declare",,"UNKNOWN",,,
"1","buhay",,"UNKNOWN",,,
"1","unusually",,"UNKNOWN",,,
"2","crime",,"UNKNOWN",,,
"1","shogun_ships_company_inc",,"agent",,,
"7","own",,"UNKNOWN",,,
"1","fellow",,"UNKNOWN",,,
"1","ngunit",,"UNKNOWN",,,
"3","face",,"UNKNOWN",,,
"1","malalaman",,"UNKNOWN",,,
"1","saturdays",,"UNKNOWN",,,
"1","usapan",,"UNKNOWN",,,
"2","common",,"UNKNOWN",,,
"4","pcg_commandant",,"agent",,,
"36","mv_mirola",,"agent",,,
"4","ronnel_arambulo",,"agent",,,
"1","matagal-tagal",,"UNKNOWN",,,
"1","kuhanin",,"UNKNOWN",,,
"1","natural_cost",,"agent",,,
"2","penalties",,"UNKNOWN",,,
"3","estimate",,"UNKNOWN",,,
"3","prohibit",,"UNKNOWN",,,
"2","cordero_jr",,"agent",,,
"5","allegations",,"UNKNOWN",,,
"2","document",,"UNKNOWN",,,
"1","figure",,"UNKNOWN",,,
"31","motor",,"UNKNOWN",,,
"1","to_do",,"UNKNOWN",,,
"6","assess",,"UNKNOWN",,,
"2","civil",,"UNKNOWN",,,
"3","urinate",,"UNKNOWN",,,
"3","crisis",,"UNKNOWN",,,
"4","caught",,"UNKNOWN",,,
"1","hair",,"UNKNOWN",,,
"1","detention",,"UNKNOWN",,,
"2","direct",,"UNKNOWN",,,
"1","fade",,"UNKNOWN",,,
"2","malakas",,"UNKNOWN",,,
"7","flags",,"UNKNOWN",,,
"5","assur",,"UNKNOWN",,,
"23","news",,"UNKNOWN",,,
"3","maritime_industry_authority",,"agent",,,
"2","aftermath",,"UNKNOWN",,,
"1","utilizes",,"UNKNOWN",,,
"3","dahil",,"UNKNOWN",,,
"1","mag-develop",,"UNKNOWN",,,
"1","seller",,"UNKNOWN",,,
"3","angle",,"UNKNOWN",,,
"1","take_steps",,"UNKNOWN",,,
"1","clams",,"UNKNOWN",,,
"1","caluya",,"UNKNOWN",,,
"1","fact",,"UNKNOWN",,,
"1","kind_of",,"UNKNOWN",,,
"1","p150-p180",,"UNKNOWN",,,
"1","pupuntahan",,"UNKNOWN",,,
"4","mixture",,"UNKNOWN",,,
"1","precautionary",,"UNKNOWN",,,
"1","datos",,"UNKNOWN",,,
"1","serbisyo",,"UNKNOWN",,,
"2","actions",,"UNKNOWN",,,
"2","abort",,"UNKNOWN",,,
"4","fear",,"UNKNOWN",,,
"2","detail",,"UNKNOWN",,,
"1","faces",,"UNKNOWN",,,
"18","integr",,"UNKNOWN",,,
"1","kalala",,"UNKNOWN",,,
"16","terms",,"UNKNOWN",,,
"1","batang",,"UNKNOWN",,,
"1","interviews",,"UNKNOWN",,,
"1","disruption",,"UNKNOWN",,,
"3","presidential_communications_office",,"organization",,,
"2","niyan",,"UNKNOWN",,,
"1","ombay",,"UNKNOWN",,,
"1","exploration",,"UNKNOWN",,,
"20","livelihood",,"UNKNOWN",,,
"1","woke",,"UNKNOWN",,,
"1","galaw",,"UNKNOWN",,,
"2","commit",,"UNKNOWN",,,
"1","alleg",,"UNKNOWN",,,
"15","reports",,"UNKNOWN",,,
"1","kainin",,"UNKNOWN",,,
"4","kapag",,"UNKNOWN",,,
"2","charges",,"UNKNOWN",,,
"1","demonstrate",,"UNKNOWN",,,
"1","—unit",,"UNKNOWN",,,
"1","oceanas",,"UNKNOWN",,,
"2","unable",,"UNKNOWN",,,
"3","sta",,"UNKNOWN",,,
"1","nagbuo",,"UNKNOWN",,,
"1","anomalies",,"UNKNOWN",,,
"2","poison",,"UNKNOWN",,,
"1","compensatory",,"UNKNOWN",,,
"2","malaki",,"UNKNOWN",,,
"1","marri",,"UNKNOWN",,,
"3","heavy-weath",,"UNKNOWN",,,
"1","abra",,"UNKNOWN",,,
"1","united_states_national_oceanic",,"agent",,,
"2","size",,"UNKNOWN",,,
"1","properly",,"UNKNOWN",,,
"1","inform",,"UNKNOWN",,,
"1","habitat",,"UNKNOWN",,,
"1","canvass",,"UNKNOWN",,,
"1","devastating—have",,"UNKNOWN",,,
"13","efforts",,"UNKNOWN",,,
"2","fernando",,"task",,,
"1","lalim",,"UNKNOWN",,,
"2","foreign",,"UNKNOWN",,,
"1","malapit",,"UNKNOWN",,,
"1","bongbong",,"agent",,,
"4","supertyphoon",,"unknown",,,
"1","roads",,"UNKNOWN",,,
"1","bradleys",,"task",,,
"8","result",,"UNKNOWN",,,
"1","defin",,"UNKNOWN",,,
"2","model",,"UNKNOWN",,,
"1","maritime_organization_regional",,"agent",,,
"1","mangisda",,"UNKNOWN",,,
"2","—noel",,"UNKNOWN",,,
"1","provincial_agriculture_office",,"organization",,,
"7","municipality",,"UNKNOWN",,,
"2","4a",,"UNKNOWN",,,
"3","melchora",,"UNKNOWN",,,
"2","nets",,"UNKNOWN",,,
"1","well",,"UNKNOWN",,,
"1","abundant",,"UNKNOWN",,,
"1","mitigation",,"UNKNOWN",,,
"1","julius_rodriguez",,"agent",,,
"5","rais",,"UNKNOWN",,,
"6","facility",,"UNKNOWN",,,
"1","reserv",,"UNKNOWN",,,
"2","elaborate",,"UNKNOWN",,,
"1","gascon",,"UNKNOWN",,,
"2","complete",,"UNKNOWN",,,
"1","brace",,"UNKNOWN",,,
"2","together_with",,"UNKNOWN",,,
"1","makatakas",,"UNKNOWN",,,
"1","supply",,"UNKNOWN",,,
"1","i-improve",,"UNKNOWN",,,
"1","feed",,"UNKNOWN",,,
"3","severe",,"UNKNOWN",,,
"1","gobyerno",,"UNKNOWN",,,
"1","kapaligiran",,"UNKNOWN",,,
"1","lubhang",,"UNKNOWN",,,
"2","4m",,"UNKNOWN",,,
"1","feel",,"UNKNOWN",,,
"1","rush",,"UNKNOWN",,,
"6","crucial",,"UNKNOWN",,,
"1","ginagawa",,"UNKNOWN",,,
"1","zamboanga_city",,"location",,,
"1","nest",,"UNKNOWN",,,
"1","come_forward",,"UNKNOWN",,,
"1","kung_sino_ang",,"agent",,,
"1","suppliers",,"UNKNOWN",,,
"10","units",,"UNKNOWN",,,
"15","recovery",,"UNKNOWN",,,
"2","kerosene",,"UNKNOWN",,,
"2","liabilities",,"UNKNOWN",,,
"2","organic",,"UNKNOWN",,,
"3","resume",,"UNKNOWN",,,
"68","waters",,"UNKNOWN",,,
"1","farther",,"UNKNOWN",,,
"3","service",,"UNKNOWN",,,
"6","claim",,"UNKNOWN",,,
"41","operations",,"UNKNOWN",,,
"2","harvest",,"UNKNOWN",,,
"1","masters",,"UNKNOWN",,,
"2","novas",,"UNKNOWN",,,
"2","serves",,"UNKNOWN",,,
"11","brief",,"UNKNOWN",,,
"1","costly",,"UNKNOWN",,,
"1","journalism",,"UNKNOWN",,,
"9","waste",,"UNKNOWN",,,
"2","secretarys",,"UNKNOWN",,,
"1","opo",,"UNKNOWN",,,
"2","citations",,"UNKNOWN",,,
"1","calatagan",,"UNKNOWN",,,
"1","kbk",,"UNKNOWN",,,
"1","conducts",,"UNKNOWN",,,
"3","bring",,"UNKNOWN",,,
"1","may-ari",,"UNKNOWN",,,
"2","ronnie",,"UNKNOWN",,,
"6","cover",,"UNKNOWN",,,
"1","fail",,"UNKNOWN",,,
"2","mangingisda",,"unknown",,,
"4","sales",,"UNKNOWN",,,
"1","asawa",,"UNKNOWN",,,
"21","file",,"agent",,,
"2","malolos_city",,"location",,,
"7","criminal",,"UNKNOWN",,,
"4","toxic",,"UNKNOWN",,,
"17","weather",,"UNKNOWN",,,
"3","devastate",,"UNKNOWN",,,
"1","katulad",,"UNKNOWN",,,
"1","headlines",,"UNKNOWN",,,
"6","pcgs",,"UNKNOWN",,,
"1","opt",,"UNKNOWN",,,
"2","groups",,"unknown",,,
"5","wind",,"UNKNOWN",,,
"1","municipal_social_welfare",,"agent",,,
"1","naiwan",,"UNKNOWN",,,
"5","national",,"UNKNOWN",,,
"1","compens",,"UNKNOWN",,,
"1","magagamit",,"UNKNOWN",,,
"19","prevent",,"UNKNOWN",,,
"2","director",,"UNKNOWN",,,
"23","provid",,"UNKNOWN",,,
"1","sangguniang",,"UNKNOWN",,,
"1","bahagi",,"UNKNOWN",,,
"2","lumaot",,"UNKNOWN",,,
"1","oil_spill_response_organizations",,"agent",,,
"1","logistical",,"UNKNOWN",,,
"1","vomit",,"UNKNOWN",,,
"4","—jiselle",,"UNKNOWN",,,
"1","ganyang",,"UNKNOWN",,,
"6","used_to",,"UNKNOWN",,,
"8","tap",,"UNKNOWN",,,
"5","on_board",,"UNKNOWN",,,
"1","papaano",,"UNKNOWN",,,
"1","shoreline—could",,"UNKNOWN",,,
"2","oily",,"UNKNOWN",,,
"1","makikita",,"UNKNOWN",,,
"6","coconut",,"UNKNOWN",,,
"2","long-term",,"UNKNOWN",,,
"1","oils",,"UNKNOWN",,,
"5","traces",,"UNKNOWN",,,
"1","engin",,"UNKNOWN",,,
"3","timeline",,"UNKNOWN",,,
"18","ground",,"UNKNOWN",,,
"1","cavite-metro",,"unknown",,,
"17","salvor",,"UNKNOWN",,,
"29","cargo",,"UNKNOWN",,,
"7","containment",,"UNKNOWN",,,
"1","effective",,"UNKNOWN",,,
"3","probe",,"UNKNOWN",,,
"5","disposal",,"UNKNOWN",,,
"1","merong",,"UNKNOWN",,,
"1","highly",,"UNKNOWN",,,
"2","length",,"UNKNOWN",,,
"7","justice_secretary",,"UNKNOWN",,,
"1","cavite—bacoor",,"UNKNOWN",,,
"1","vince",,"UNKNOWN",,,
"1","frequently",,"UNKNOWN",,,
"1","usapin",,"UNKNOWN",,,
"7","quiapo",,"UNKNOWN",,,
"1","migration",,"UNKNOWN",,,
"9","responsible",,"UNKNOWN",,,
"1","progressive",,"UNKNOWN",,,
"1","take_up",,"UNKNOWN",,,
"1","verde_island_passage",,"location",,,
"2","establish",,"UNKNOWN",,,
"1","suppos",,"UNKNOWN",,,
"15","typhoon",,"UNKNOWN",,,
"2","renewable",,"UNKNOWN",,,
"1","access",,"UNKNOWN",,,
"1","rufo",,"UNKNOWN",,,
"16","secretary",,"UNKNOWN",,,
"4","symptoms",,"UNKNOWN",,,
"1","llgjyofygv",,"agent",,,
"68","industrial",,"UNKNOWN",,,
"1","kapitan",,"UNKNOWN",,,
"1","mishaps",,"UNKNOWN",,,
"1","lugar",,"UNKNOWN",,,
"1","councils",,"UNKNOWN",,,
"5","unsafe",,"UNKNOWN",,,
"2","sector",,"UNKNOWN",,,
"1","mallari_jr",,"agent",,,
"2","semirara",,"UNKNOWN",,,
"2","ruin",,"UNKNOWN",,,
"1","swells",,"UNKNOWN",,,
"1","maunahan",,"UNKNOWN",,,
"1","answers",,"UNKNOWN",,,
"46","spokesperson_rear_admiral_armand_balilo",,"agent",,,
"2","workers",,"UNKNOWN",,,
"1","asabihan",,"UNKNOWN",,,
"13","vasquez",,"UNKNOWN",,,
"5","race",,"UNKNOWN",,,
"1","island-province",,"UNKNOWN",,,
"12","incidents",,"UNKNOWN",,,
"2","fame",,"UNKNOWN",,,
"2","daniella",,"UNKNOWN",,,
"6","niya",,"UNKNOWN",,,
"1","risk-caus",,"UNKNOWN",,,
"1","porta_vaga_ship_management_group",,"organization",,,
"1","jose_garcia",,"agent",,,
"3","directly",,"UNKNOWN",,,
"22","work",,"UNKNOWN",,,
"1","diarrhea",,"UNKNOWN",,,
"1","biodegradation",,"UNKNOWN",,,
"1","victims",,"UNKNOWN",,,
"1","tatagas",,"UNKNOWN",,,
"1","videos",,"UNKNOWN",,,
"2","global",,"UNKNOWN",,,
"6","class",,"UNKNOWN",,,
"1","property",,"UNKNOWN",,,
"1","figur",,"UNKNOWN",,,
"1","responders",,"UNKNOWN",,,
"1","naputol",,"UNKNOWN",,,
"1","northern",,"agent",,,
"36","environment",,"UNKNOWN",,,
"1","shipyard",,"UNKNOWN",,,
"5","program",,"UNKNOWN",,,
"1","mapaminsalang",,"UNKNOWN",,,
"12","company",,"UNKNOWN",,,
"1","popular",,"UNKNOWN",,,
"2","even",,"UNKNOWN",,,
"1","word",,"UNKNOWN",,,
"1","go_through",,"UNKNOWN",,,
"15","warn",,"UNKNOWN",,,
"2","stop",,"UNKNOWN",,,
"3","washington-bas_national_oceanic",,"agent",,,
"1","intention",,"UNKNOWN",,,
"1","allow",,"UNKNOWN",,,
"1","mahigit",,"UNKNOWN",,,
"4","caution",,"UNKNOWN",,,
"3","estenzo",,"UNKNOWN",,,
"2","ronnie_gil_gavan",,"agent",,,
"1","conflat",,"UNKNOWN",,,
"1","nocop",,"UNKNOWN",,,
"1","categorically",,"UNKNOWN",,,
"1","juanito",,"UNKNOWN",,,
"3","kanilang",,"UNKNOWN",,,
"1","iyon",,"UNKNOWN",,,
"2","obando",,"UNKNOWN",,,
"1","minim",,"UNKNOWN",,,
"2","fit",,"UNKNOWN",,,
"1","offices",,"UNKNOWN",,,
"2","in_fact",,"UNKNOWN",,,
"2","wash",,"UNKNOWN",,,
"1","mean",,"UNKNOWN",,,
"1","stickier",,"UNKNOWN",,,
"1","ecosystem—includ",,"UNKNOWN",,,
"1","fine",,"UNKNOWN",,,
"1","lists",,"UNKNOWN",,,
"2","find",,"UNKNOWN",,,
"7","worst-case",,"UNKNOWN",,,
"37","marine",,"UNKNOWN",,,
"13","office",,"UNKNOWN",,,
"15","noveleta",,"agent",,,
"1","cultur",,"UNKNOWN",,,
"1","rice",,"UNKNOWN",,,
"2","terminals",,"UNKNOWN",,,
"2","circumstances",,"UNKNOWN",,,
"1","website",,"UNKNOWN",,,
"1","matter",,"UNKNOWN",,,
"1","naturally",,"UNKNOWN",,,
"1","locally",,"UNKNOWN",,,
"1","rich",,"UNKNOWN",,,
"4","fill",,"UNKNOWN",,,
"1","bumaba",,"UNKNOWN",,,
"5","clearance",,"UNKNOWN",,,
"6","families",,"UNKNOWN",,,
"4","domestic",,"UNKNOWN",,,
"3","casualty",,"UNKNOWN",,,
"3","rules",,"UNKNOWN",,,
"35","fisherfolk",,"UNKNOWN",,,
"1","umiral",,"UNKNOWN",,,
"1","nag-decide",,"UNKNOWN",,,
"14","inquir",,"UNKNOWN",,,
"1","bumalik",,"UNKNOWN",,,
"9","safety",,"UNKNOWN",,,
"1","karagdagang",,"UNKNOWN",,,
"9","continue",,"UNKNOWN",,,
"2","industries",,"UNKNOWN",,,
"3","emphas",,"UNKNOWN",,,
"3","boom",,"UNKNOWN",,,
"4","anne",,"UNKNOWN",,,
"3","tapos",,"UNKNOWN",,,
"2","seasonal",,"UNKNOWN",,,
"1","dalampasigan",,"UNKNOWN",,,
"1","saksi",,"UNKNOWN",,,
"9","parts",,"UNKNOWN",,,
"37","harbor_star_ship_services_inc",,"agent",,,
"16","float",,"UNKNOWN",,,
