,snippet,link,date_published,text,like_count,reply_parent_id,source,cleaned_text,topic
11,Parang may gusto ipahiwatig ang mga pangyayari   sa smcorp😮,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzvlFmHYTgbrDaCrSN4AaABAg,2024-08-09 14:36:41+00:00,Parang may gusto ipahiwatig ang mga pangyayari   sa smcorp😮,0,,youtube,parang may gusto ipahiwatig ang mga pangyayari sa smcorp😮,2
12,Pag mahirap kulong pag mayaman o may kaya imbestigasyon awit sa inyo,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzGNG_sjfPjlpYIGH94AaABAg,2024-08-09 13:41:39+00:00,Pag mahirap kulong pag mayaman o may kaya imbestigasyon awit sa inyo,1,,youtube,pag mahirap kulong pag mayaman may kaya imbestigasyon awit sa inyo,3
13,Ano Plano puro nalang ba dada walang gawa maawa naman kayo sa mga mangingisda bakit ayaw kasuhan ang mga owner ng mga barking tumaob,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugz_E5DDej8gMmySzOh4AaABAg,2024-08-09 13:40:31+00:00,Ano Plano puro nalang ba dada walang gawa maawa naman kayo sa mga mangingisda bakit ayaw kasuhan ang mga owner ng mga barking tumaob,0,,youtube,ano plano puro nalang ba dada walang gawa maawa naman kayo sa mga mangingisda bakit ayaw kasuhan ang mga owner ng mga bark tumaob,0
14,"I am seafarer sana patawan yan ng mabigat na parusa dahil Hnd yan dumaan sa complete documents ika nga tumakas naglayag at yan ang malaking consequences nangyri ngka oil spill nasisira ang yamang dagat at kabuhayan ng mga tao sa Lugar,,kaya for me, Sana patawan yan ng pnka mabigat na parusa includd na Yung Officer ng mga Vessel na yan...",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwQqspU5Ay7wylyJOp4AaABAg,2024-08-09 13:40:28+00:00,"I am seafarer sana patawan yan ng mabigat na parusa dahil Hnd yan dumaan sa complete documents ika nga tumakas naglayag at yan ang malaking consequences nangyri ngka oil spill nasisira ang yamang dagat at kabuhayan ng mga tao sa Lugar,,kaya for me, Sana patawan yan ng pnka mabigat na parusa includd na Yung Officer ng mga Vessel na yan...",0,,youtube,"seafarer sana patawan yan ng mabigat na parusa dahil hnd yan dumaan sa complete document ika nga tumakas naglayag yan ang malaking consequence nangyri ngka oil spill nasisira ang yamang dagat kabuhayan ng mga tao sa lugar,,kaya me, sana patawan yan ng pnka mabigat na parusa includd na yung officer ng mga vessel na yan...",0
15,Ubos talaga lahat ng lamang dagat jan pagnagkataon,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzLlitv19OgtBmpS3N4AaABAg,2024-08-09 12:16:31+00:00,Ubos talaga lahat ng lamang dagat jan pagnagkataon,0,,youtube,ubos talaga lahat ng lamang dagat jan pagnagkataon,0
16,dapat pagbayadin ang mga owner ng barko Nayan at ibigay sa mga mangingisda na apektado ...,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugxg36Vfd49dW8wXnat4AaABAg,2024-08-09 10:44:20+00:00,dapat pagbayadin ang mga owner ng barko Nayan at ibigay sa mga mangingisda na apektado ...,0,,youtube,dapat pagbayadin ang mga owner ng barko nayan ibigay sa mga mangingisda na apektado ...,0
17,d naman mpapanagot ks san mig me  ari gaya ng nanyari noon pa sa visaya 😮😢😢,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzaEVESaCTVXbYYHi94AaABAg,2024-08-09 09:35:16+00:00,d naman mpapanagot ks san mig me  ari gaya ng nanyari noon pa sa visaya 😮😢😢,0,,youtube,naman mpapanagot k san mig ari gaya ng nanyari noon pa sa visaya 😮😢😢,0
18,Super perwisyo talaga sa ilang mga baybayin at lalo na sa mga mangingisda,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzyFGwHSNp02fDvQiN4AaABAg,2024-08-09 00:33:35+00:00,Super perwisyo talaga sa ilang mga baybayin at lalo na sa mga mangingisda,0,,youtube,super perwisyo talaga sa ilang mga baybayin lalo na sa mga mangingisda,0
19,Marcus bigyan ayuda mga mangingisda kawawa naman,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyLSrrIKHCG05Jo4G54AaABAg,2024-08-08 22:39:04+00:00,Marcus bigyan ayuda mga mangingisda kawawa naman,0,,youtube,marcus bigyan ayuda mga mangingisda kawawa naman,0
20,ang laking dagok nito sa mga mangingisda sa lugar na may oil spill 😢,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugw9r1fW_JuTgKSgz9t4AaABAg,2024-08-08 18:03:10+00:00,ang laking dagok nito sa mga mangingisda sa lugar na may oil spill 😢,0,,youtube,ang laking dagok nito sa mga mangingisda sa lugar na may oil spill 😢,0
21,Pati kami na mga taga dinahican infanta Quezon na lumalaot sa pacific Philippine rise na apiktuhan halos hindi na rin mabili mga isda namin dahil jn sa oil spill na yn eh ang layo naman ng manila bay sa linalaotan namin pero halos ayaw na rin bilihin mga isda dto lahat ng mga bangkang pamiwasan dto mga lugi kami nga kalahating milyon kunsomo namin tapos binta lang cguro namin nasa 300k 40 nalang kilo ng tulingan dto samin,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxttuUPhAcCASUC7gJ4AaABAg,2024-08-08 14:22:41+00:00,Pati kami na mga taga dinahican infanta Quezon na lumalaot sa pacific Philippine rise na apiktuhan halos hindi na rin mabili mga isda namin dahil jn sa oil spill na yn eh ang layo naman ng manila bay sa linalaotan namin pero halos ayaw na rin bilihin mga isda dto lahat ng mga bangkang pamiwasan dto mga lugi kami nga kalahating milyon kunsomo namin tapos binta lang cguro namin nasa 300k 40 nalang kilo ng tulingan dto samin,0,,youtube,pati kami na mga taga dinahican infanta quezon na lumalaot sa pacific philippine rise na apiktuhan halo hindi na rin mabili mga isda namin dahil jn sa oil spill na yn eh ang layo naman ng manila bay sa linalaotan namin pero halo ayaw na rin bilihin mga isda dto lahat ng mga bangkang pamiwasan dto mga lugi kami nga kalahating milyon kunsomo namin tapos binta lang cguro namin nasa 300k 40 nalang kilo ng tulingan dto samin,2
22,Kung sino pa ung maliit kumita ng pera sila pa ung naperwisyo..,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyNmR-UnxvnWBA-cB94AaABAg,2024-08-08 12:59:00+00:00,Kung sino pa ung maliit kumita ng pera sila pa ung naperwisyo..,0,,youtube,kung sino pa ung maliit kumita ng pera sila pa ung naperwisyo..,2
23,we now have oily dolomite beaxh awit,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyiOwOMK-aN2SANc0J4AaABAg,2024-08-08 12:34:42+00:00,we now have oily dolomite beaxh awit,0,,youtube,oily dolomite beaxh awit,1
24,isa lang sulusyon.. pakalbo kayong lahat pinoy donate nyo buhok nyo para makatulong kayo,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyfGBUgu2IcfeR73XF4AaABAg,2024-08-08 08:41:37+00:00,isa lang sulusyon.. pakalbo kayong lahat pinoy donate nyo buhok nyo para makatulong kayo,0,,youtube,isa lang sulusyon.. pakalbo kayong lahat pinoy donate nyo buhok nyo para makatulong kayo,0
25,naku natakot na si mama bumili ng isda dapat panagutan yang tatlo na yan mawawalan ng pagkain ang akong mga alagang aso patay sila sa akin,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy_C6Y0JA7Y1zv93vN4AaABAg,2024-08-08 08:26:01+00:00,naku natakot na si mama bumili ng isda dapat panagutan yang tatlo na yan mawawalan ng pagkain ang akong mga alagang aso patay sila sa akin,0,,youtube,naku natakot na si mama bumili ng isda dapat panagutan yang tatlo na yan mawawalan ng pagkain ang akong mga alagang aso patay sila sa akin,2
26,Pagbayrin Ng malaki Yung COMPANY Ng lumubog na barko sa gobyerno pati mga apektadong mangingisda Sana. Both environment and kabuhayaan Yung nasira,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxMl7_h-UkY7dL1onp4AaABAg,2024-08-08 05:44:28+00:00,Pagbayrin Ng malaki Yung COMPANY Ng lumubog na barko sa gobyerno pati mga apektadong mangingisda Sana. Both environment and kabuhayaan Yung nasira,0,,youtube,pagbayrin ng malaki yung company ng lumubog na barko sa gobyerno pati mga apektadong mangingisda sana. environment kabuhayaan yung nasira,0
27,Nagkakaso na pala noon..bakit pa pinaglalayag mga yan.. perwisyo eh,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugw3iK8UsutLuAkNJyF4AaABAg,2024-08-08 04:31:09+00:00,Nagkakaso na pala noon..bakit pa pinaglalayag mga yan.. perwisyo eh,0,,youtube,nagkakaso na pala noon..bakit pa pinaglalayag mga yan.. perwisyo eh,4
28,Halatang sinadya naman...kawawa nanaman ang ating kalikasan...,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugz2oGCIkycja_wcvjd4AaABAg,2024-08-08 03:25:28+00:00,Halatang sinadya naman...kawawa nanaman ang ating kalikasan...,0,,youtube,halatang sinadya naman...kawawa nanaman ang ating kalikasan...,1
29,"mayron din kapitan na,kahit masama yong panahon pelit pa rin lalayag...",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgysDVzm9eyMpwjTS6J4AaABAg,2024-08-08 02:20:24+00:00,"mayron din kapitan na,kahit masama yong panahon pelit pa rin lalayag...",0,,youtube,"mayron din kapitan na,kahit masama yong panahon pelit pa rin lalayag...",3
30,Perwisyo talaga mga tanker na to alam na ngang may bagyo maglalayag pa sana pagbayarin mga yan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxHnyR2vgiyIF-pimR4AaABAg,2024-08-08 01:54:35+00:00,Perwisyo talaga mga tanker na to alam na ngang may bagyo maglalayag pa sana pagbayarin mga yan,0,,youtube,perwisyo talaga mga tanker na alam na ngang may bagyo maglalayag pa sana pagbayarin mga yan,2
31,"niloloko mo naman kami jess and team nyo, sana nag inbestiga rin kayo sa other side, yung big fish na may ari o pinahihinalaang may ari, bait di nyo sila tinanung kung sa kanila yun, bakit, di nyo  imbestigahan ng mas malalim, bakit di nyo expose yung dating kaso ng spill, bakit, text lang yung paliwanag nyo sa mga may ari?",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgytOquFkHq5ERk-Fxl4AaABAg,2024-08-07 20:57:17+00:00,"niloloko mo naman kami jess and team nyo, sana nag inbestiga rin kayo sa other side, yung big fish na may ari o pinahihinalaang may ari, bait di nyo sila tinanung kung sa kanila yun, bakit, di nyo  imbestigahan ng mas malalim, bakit di nyo expose yung dating kaso ng spill, bakit, text lang yung paliwanag nyo sa mga may ari?",0,,youtube,"niloloko mo naman kami jess team nyo, sana nag inbestiga rin kayo sa side, yung big fish na may ari pinahihinalaang may ari, bait di nyo sila tinanung kung sa kanila yun, bakit, di nyo imbestigahan ng ma malalim, bakit di nyo expose yung date kaso ng spill, bakit, text lang yung paliwanag nyo sa mga may ari?",0
32,Why not Americans come to the rescue,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzVs7N6SyzPSpNFHzl4AaABAg,2024-08-07 17:59:12+00:00,Why not Americans come to the rescue,0,,youtube,american come rescue,4
33,Ang tanung bkit pinayagan??? Ang sagot jn my palaman yan pag nag pa clearance 😂 ung pandisal na my palaman na cheese!!,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy3Q9h_laATCmwBwZV4AaABAg,2024-08-07 16:28:16+00:00,Ang tanung bkit pinayagan??? Ang sagot jn my palaman yan pag nag pa clearance 😂 ung pandisal na my palaman na cheese!!,0,,youtube,ang tanung bkit pinayagan??? ang sagot jn palaman yan pag nag pa clearance 😂 ung pandisal na palaman na cheese!!,0
34,Bgyan ng ayuda ang mangingisda o naapektuhan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyWQtZKeLEbus1iZqd4AaABAg,2024-08-07 12:48:40+00:00,Bgyan ng ayuda ang mangingisda o naapektuhan,0,,youtube,bgyan ng ayuda ang mangingisda naapektuhan,0
35,President sisihin nyan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxWhgLy6J5RNlMQxwV4AaABAg,2024-08-07 12:29:38+00:00,President sisihin nyan,1,,youtube,president sisihin nyan,1
36,Presidente nanaman juskooo!,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxWhgLy6J5RNlMQxwV4AaABAg.A6q6Dy5pFhAA6q7g2Sqmp6,,Presidente nanaman juskooo!,0,UgxWhgLy6J5RNlMQxwV4AaABAg,youtube,presidente nanaman juskooo!,4
37,Kawawa naman yung mga apektadong mangingisda. Anu kaya yung gagawing aksyon ng gobyerno dito.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxX896CexedCr4lMXF4AaABAg,2024-08-07 12:15:54+00:00,Kawawa naman yung mga apektadong mangingisda. Anu kaya yung gagawing aksyon ng gobyerno dito.,0,,youtube,kawawa naman yung mga apektadong mangingisda. anu kaya yung gagawing aksyon ng gobyerno dito.,0
38,San Miguel nnmn?<br>Sila dn ung umaangkin ng lupa ng mga katutubo sa Balabac right?,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx4d34UJjspdPMYY-Z4AaABAg,2024-08-07 10:45:33+00:00,"San Miguel nnmn?
Sila dn ung umaangkin ng lupa ng mga katutubo sa Balabac right?",0,,youtube,san miguel nnmn? sila dn ung umaangkin ng lupa ng mga katutubo sa balabac right?,0
39,Desaster na yan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxWzM-nfxbgdYbNpo94AaABAg,2024-08-07 08:15:26+00:00,Desaster na yan,0,,youtube,desaster na yan,1
40,D kya ito sinadya NG China kc Alam mo nman yang China walang kasing sama,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugz8C4XW8aQZjl6A5Yd4AaABAg,2024-08-07 08:14:34+00:00,D kya ito sinadya NG China kc Alam mo nman yang China walang kasing sama,0,,youtube,kya ito sinadya ng china kc alam mo nman yang china walang kasing sama,4
41,Yong mga mangingisda na sa dagat lang umaasa..kawawa nman,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugw-GqAFvFHQ2dtruU14AaABAg,2024-08-07 06:55:07+00:00,Yong mga mangingisda na sa dagat lang umaasa..kawawa nman,0,,youtube,yong mga mangingisda na sa dagat lang umaasa..kawawa nman,0
42,Government galaw galaw maawa kayo sa mga mamamayan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx6YjCSkwiQ3-PmEvR4AaABAg,2024-08-07 04:27:22+00:00,Government galaw galaw maawa kayo sa mga mamamayan,0,,youtube,government galaw galaw maawa kayo sa mga mamamayan,2
43,Taga mariveles Bataan po Ako at Isa po Akosa mga nagtitinda ng isda Dito sa mariveles ..sobrang matumal po dahil maraming natatakot dhil sa oil spill ...ang hirap mag paubus lagi maraming Tira,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx2QTF8hlIE0YAhrTF4AaABAg,2024-08-07 04:23:05+00:00,Taga mariveles Bataan po Ako at Isa po Akosa mga nagtitinda ng isda Dito sa mariveles ..sobrang matumal po dahil maraming natatakot dhil sa oil spill ...ang hirap mag paubus lagi maraming Tira,3,,youtube,taga mariveles bataan po ako isa po akosa mga nagtitinda ng isda dito sa mariveles ..sobrang matumal po dahil maraming natatakot dhil sa oil spill ...ang hirap mag paubus lagi maraming tira,2
44,😢,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx2QTF8hlIE0YAhrTF4AaABAg.A6pEYLdIfkRA6pFLAJi0BG,,😢,0,Ugx2QTF8hlIE0YAhrTF4AaABAg,youtube,😢,0
45,HAHAHAHAHA INANG PHIL COAST GUARD TO NAPAKAWALANG KWENTA KURAP NA AHENSYA TALAGA HAHAHAHAHA,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxzZR-lRJHJc9SICOx4AaABAg,2024-08-07 04:09:39+00:00,HAHAHAHAHA INANG PHIL COAST GUARD TO NAPAKAWALANG KWENTA KURAP NA AHENSYA TALAGA HAHAHAHAHA,0,,youtube,hahahahaha inang phil coast guard napakawalang kwenta kurap na ahensya talaga hahahahaha,3
46,the tankers should be held liable and they should help clean up their <br>mess!,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwAl-c888_JlWUFhVZ4AaABAg,2024-08-07 04:09:03+00:00,"the tankers should be held liable and they should help clean up their 
mess!",6,,youtube,tanker hold liable help clean mess!,3
47,Bago na naman iyan?,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyWmEaTooOt09RTkhd4AaABAg,2024-08-07 02:05:47+00:00,Bago na naman iyan?,0,,youtube,bago na naman iyan?,1
48,Wala na pag asa ang Pilipinas,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy1r5p8FwvorW_RQ7Z4AaABAg,2024-08-06 23:53:04+00:00,Wala na pag asa ang Pilipinas,0,,youtube,wala na pag asa ang pilipinas,0
49,Mga taga amaya tanza mag ingay!!!! 😁😁,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzH1cFqGg8jzE-63Ep4AaABAg,2024-08-06 23:13:06+00:00,Mga taga amaya tanza mag ingay!!!! 😁😁,0,,youtube,mga taga amaya tanza mag ingay!!!! 😁😁,2
50,D kaya gawa ng china yan baka sinuholan yong nag dala ng barko na ilubog sa dagat kapalit ng malaking halaga...kc sunod²x na yan eh...,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwUUE7NRLnbkVeedE54AaABAg,2024-08-06 22:16:07+00:00,D kaya gawa ng china yan baka sinuholan yong nag dala ng barko na ilubog sa dagat kapalit ng malaking halaga...kc sunod²x na yan eh...,1,,youtube,kaya gawa ng china yan baka sinuholan yong nag dala ng barko na ilubog sa dagat kapalit ng malaking halaga...kc sunod²x na yan eh...,0
51,sabi ng coast guard under control lahat yan at secure na lahat sa interview ni ted failon sa tagapag salita yata yun 😢😢😢😢,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugx_qnx_mhRJRbEUZ7p4AaABAg,2024-08-06 21:36:16+00:00,sabi ng coast guard under control lahat yan at secure na lahat sa interview ni ted failon sa tagapag salita yata yun 😢😢😢😢,0,,youtube,sabi ng coast guard control lahat yan secure na lahat sa interview ni ted failon sa tagapag salita yata yun 😢😢😢😢,4
52,Yan ang patunay at enodensya 😂😂😂😂😂,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy1EV5hbMy4pakPYWh4AaABAg,2024-08-06 21:34:23+00:00,Yan ang patunay at enodensya 😂😂😂😂😂,0,,youtube,yan ang patunay enodensya 😂😂😂😂😂,2
53,alam na gawa ng &#39; &#39; CHINA &#39; &#39; para malihis ang balita kay alice guo.... isip isip pinas baka may binayaran ang china pra gawin yan....,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxhaiQ8SrOVuAIr-c14AaABAg,2024-08-06 21:12:42+00:00,alam na gawa ng ' ' CHINA ' ' para malihis ang balita kay alice guo.... isip isip pinas baka may binayaran ang china pra gawin yan....,0,,youtube,alam na gawa ng ' ' china ' ' para malihis ang balita kay alice guo.... isip isip pinas baka may binayaran ang china pra gawin yan....,2
54,grabe purwisyo.. kawawa mga mangingisda agmamahal ang mga bilihin din na seafood sigurado.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugy-AlqpRiFVffflb1V4AaABAg,2024-08-06 20:02:25+00:00,grabe purwisyo.. kawawa mga mangingisda agmamahal ang mga bilihin din na seafood sigurado.,0,,youtube,grabe purwisyo.. kawawa mga mangingisda agmamahal ang mga bilihin din na seafood sigurado.,0
55,Dpat ung nkuha sa pogo dto nyo itulong suskooooooo wla tlga kaunlaran now sa mga nakaupo 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwiLQpcCu6Zrbrff7d4AaABAg,2024-08-06 18:38:08+00:00,Dpat ung nkuha sa pogo dto nyo itulong suskooooooo wla tlga kaunlaran now sa mga nakaupo 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,0,,youtube,dpat ung nkuha sa pogo dto nyo itulong suskooooooo wla tlga kaunlaran sa mga nakaupo 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,1
56,Nsan si bbm,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxMss5ChnrfH-9rF0t4AaABAg,2024-08-06 18:32:27+00:00,Nsan si bbm,1,,youtube,nsan si bbm,1
57,Dpat kung sno may ari ng mga barko cla mag tanggal ng oil spill.. Gastusan dn nla.. bgyan dn ng trabho mga affected na mangingisda ar ayuda,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugxmf0FhyrM4bsLNMdp4AaABAg,2024-08-06 16:59:40+00:00,Dpat kung sno may ari ng mga barko cla mag tanggal ng oil spill.. Gastusan dn nla.. bgyan dn ng trabho mga affected na mangingisda ar ayuda,0,,youtube,dpat kung sno may ari ng mga barko cla mag tanggal ng oil spill.. gastusan dn nla.. bgyan dn ng trabho mga affect na mangingisda ar ayuda,0
58,Ito ang patunay na nag kamali ako ng piniling pangulo. Sabagay walang mapag kakatiwalaan ng panahon na yan. Ngayon pinakita na mismo ng kalamidad na sinungaling kang pangulo. Tama nga ang sabi na hindi magagawa ng anak ang ginawa ng kanyang ama. Ikaw ang walang awa leader ng bansa ngayon. Hindi filipino ang kalaban mo. Sinira mo lng lalo ang legasiya ng iyung ama.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugzizp1nX-F7xmLqWad4AaABAg,2024-08-06 16:55:07+00:00,Ito ang patunay na nag kamali ako ng piniling pangulo. Sabagay walang mapag kakatiwalaan ng panahon na yan. Ngayon pinakita na mismo ng kalamidad na sinungaling kang pangulo. Tama nga ang sabi na hindi magagawa ng anak ang ginawa ng kanyang ama. Ikaw ang walang awa leader ng bansa ngayon. Hindi filipino ang kalaban mo. Sinira mo lng lalo ang legasiya ng iyung ama.,0,,youtube,ito ang patunay na nag kamali ako ng piniling pangulo. sabagay walang mapag kakatiwalaan ng panahon na yan. ngayon pinakita na mismo ng kalamidad na sinungaling kang pangulo. tama nga ang sabi na hindi magagawa ng anak ang ginawa ng kanyang ama. ikaw ang walang awa leader ng bansa ngayon. hindi filipino ang kalaban mo. sinira mo lng lalo ang legasiya ng iyung ama.,4
59,Mgka2sunod 3 na barko ???? Conspiracy or natural accident ????,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxmN-tjAdBKs0lUP2h4AaABAg,2024-08-06 16:22:12+00:00,Mgka2sunod 3 na barko ???? Conspiracy or natural accident ????,0,,youtube,mgka2sunod 3 na barko ???? conspiracy natural accident ????,4
60,dapat ung may ari ng mga barko cla mag sustento ngaun sa mga naapektuhan mangingisda,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgzM1sgZMsc92iVxVql4AaABAg,2024-08-06 16:05:16+00:00,dapat ung may ari ng mga barko cla mag sustento ngaun sa mga naapektuhan mangingisda,1,,youtube,dapat ung may ari ng mga barko cla mag sustento ngaun sa mga naapektuhan mangingisda,0
