conceptFrom,conceptTo,frequency,metaOntology,metaName
alternative sources,alternative_sources,3,UNKNOWN,
resum fish,resum_fish,1,UNKNOWN,
enough crabs,enough_crabs,1,UNKNOWN,
challeng situation,challeng_situation,1,UNKNOWN,
Social Welfare,Social_Welfare,4,UNKNOWN,
Development DSWD provid,Development_DSWD_provid,1,UNKNOWN,
000 food packs,000_food_packs,1,UNKNOWN,
Municipal Social Welfare,Municipal_Social_Welfare,1,UNKNOWN,
Development Office MSWDO,Development_Office_MSWDO,1,UNKNOWN,
pang binibigay,pang_binibigay,1,UNKNOWN,
Kaya ang,Kaya_ang,1,UNKNOWN,
other jobs,other_jobs,1,UNKNOWN,
Christmas Philippines,Christmas_Philippines,1,UNKNOWN,
fine way,fine_way,1,UNKNOWN,
health concerns,health_concerns,1,UNKNOWN,
test negative,test_negative,1,UNKNOWN,
oil contamination,oil_contamination,3,UNKNOWN,
Para bumaba,Para_bumaba,1,UNKNOWN,
Nakakain naman namin mga huli namin August,Nakakain_naman_namin_mga_huli_namin_August,1,UNKNOWN,
market Philippines,market_Philippines,1,UNKNOWN,
Jonathan ñ,Jonathan_ñ,1,UNKNOWN,
similar struggles,similar_struggles,1,UNKNOWN,
high fuel,high_fuel,1,UNKNOWN,
Kaya lang,Kaya_lang,1,UNKNOWN,
Jonathan struggle,Jonathan_struggle,1,UNKNOWN,
reduc earnings,reduc_earnings,1,UNKNOWN,
Oil Spill Response Team OSTR reports,Oil_Spill_Response_Team_OSTR_reports,1,UNKNOWN,
clean operations,clean_operations,1,UNKNOWN,
further cleanup,further_cleanup,1,UNKNOWN,
ongo efforts,ongo_efforts,1,UNKNOWN,
local economy,local_economy,1,UNKNOWN,
Khyle Melivo,Khyle_Melivo,1,UNKNOWN,
graduat student,graduat_student,1,UNKNOWN,
Peninsula State University,Peninsula_State_University,1,UNKNOWN,
former manag editor,former_manag_editor,1,UNKNOWN,
MANILA Philippines,MANILA_Philippines,11,UNKNOWN,
Philippine Coast Guard PCG,Philippine_Coast_Guard_PCG,18,UNKNOWN,
sunken MT Terranova,sunken_MT_Terranova,3,UNKNOWN,
minimal amounts,minimal_amounts,1,UNKNOWN,
intact underwat,intact_underwat,1,UNKNOWN,
intact PCG,intact_PCG,1,UNKNOWN,
press conference,press_conference,3,UNKNOWN,
Saturday July,Saturday_July,2,UNKNOWN,
Harbor Star ship,Harbor_Star_ship,2,UNKNOWN,
initial assessment,initial_assessment,2,UNKNOWN,
tankers valves,tankers_valves,2,UNKNOWN,
long base,long_base,1,UNKNOWN,
aerial survey report,aerial_survey_report,1,UNKNOWN,
Philippine Space Agency,Philippine_Space_Agency,3,UNKNOWN,
operational oil,operational_oil,1,UNKNOWN,
industrial fuel oil,industrial_fuel_oil,26,UNKNOWN,
Local governments,Local_governments,3,UNKNOWN,
current trajectory,current_trajectory,1,UNKNOWN,
Saturdays dive team,Saturdays_dive_team,1,UNKNOWN,
Friday July,Friday_July,5,UNKNOWN,
sea condition,sea_condition,1,UNKNOWN,
Oil tanker MT Terranova,Oil_tanker_MT_Terranova,1,UNKNOWN,
Thursday July,Thursday_July,6,UNKNOWN,
wider oil,wider_oil,1,UNKNOWN,
Shogun Ships Company,Shogun_Ships_Company,1,UNKNOWN,
sunken ship,sunken_ship,4,UNKNOWN,
Harbor Star ship Services,Harbor_Star_ship_Services,2,UNKNOWN,
Harbor Star,Harbor_Star,9,UNKNOWN,
Mindoro oil spill,Mindoro_oil_spill,1,UNKNOWN,
Princess Empress,Princess_Empress,3,UNKNOWN,
PCG estimates,PCG_estimates,1,UNKNOWN,
shallow waters,shallow_waters,4,UNKNOWN,
vicinity waters,vicinity_waters,14,UNKNOWN,
deploi oil,deploi_oil,1,UNKNOWN,
Limay Mayor Nelson David,Limay_Mayor_Nelson_David,2,UNKNOWN,
vessels engine fuel leak,vessels_engine_fuel_leak,1,UNKNOWN,
oil slick,oil_slick,7,UNKNOWN,
worst-case scenario,worst-case_scenario,2,UNKNOWN,
potential negative impact,potential_negative_impact,1,UNKNOWN,
marine environment,marine_environment,3,UNKNOWN,
MANILA Philippines - Shogun Ships Company,MANILA_Philippines_-_Shogun_Ships_Company,1,UNKNOWN,
Terranova tap,Terranova_tap,1,UNKNOWN,
company Harbor Star ship Services,company_Harbor_Star_ship_Services,1,UNKNOWN,
response operations,response_operations,3,UNKNOWN,
possible environmental damage Harbor Star,possible_environmental_damage_Harbor_Star,1,UNKNOWN,
Philippine Stock Exchange PSE,Philippine_Stock_Exchange_PSE,1,UNKNOWN,
maritime services,maritime_services,1,UNKNOWN,
pay contract,pay_contract,2,UNKNOWN,
Philippine Coast Guard,Philippine_Coast_Guard,19,UNKNOWN,
Terranova capsiz,Terranova_capsiz,5,UNKNOWN,
nautical miles,nautical_miles,21,UNKNOWN,
last miss crew member,last_miss_crew_member,1,UNKNOWN,
maritime incident,maritime_incident,7,UNKNOWN,
weather disturbance,weather_disturbance,2,UNKNOWN,
southwest monsoon,southwest_monsoon,3,UNKNOWN,
companies tap,companies_tap,1,UNKNOWN,
last years,last_years,2,UNKNOWN,
Oriental Mindoro,Oriental_Mindoro,9,UNKNOWN,
new incident,new_incident,1,UNKNOWN,
Marine Services,Marine_Services,1,UNKNOWN,
San Miguel ship subsidiary,San_Miguel_ship_subsidiary,6,UNKNOWN,
black oil,black_oil,2,UNKNOWN,
vessels engine fuel,vessels_engine_fuel,1,UNKNOWN,
survey vessel,survey_vessel,1,UNKNOWN,
response vessels,response_vessels,2,UNKNOWN,
oil dispersants,oil_dispersants,2,UNKNOWN,
mitigate impact,mitigate_impact,1,UNKNOWN,
Ronnie Gil Gavan,Ronnie_Gil_Gavan,3,UNKNOWN,
political impacts,political_impacts,2,UNKNOWN,
pm Friday PCG officials,pm_Friday_PCG_officials,1,UNKNOWN,
salvor Harbor Star,salvor_Harbor_Star,3,UNKNOWN,
other stakeholders,other_stakeholders,2,UNKNOWN,
marine environment catastrophe,marine_environment_catastrophe,2,UNKNOWN,
public storm,public_storm,1,UNKNOWN,
signal rais,signal_rais,1,UNKNOWN,
joint marine,joint_marine,1,UNKNOWN,
largest oil firm,largest_oil_firm,1,UNKNOWN,
Petron part,Petron_part,1,UNKNOWN,
San Miguel Group,San_Miguel_Group,1,UNKNOWN,
coastal communities,coastal_communities,4,UNKNOWN,
claim responsibility foot,claim_responsibility_foot,1,UNKNOWN,
environmental damage,environmental_damage,5,UNKNOWN,
climate campaign,climate_campaign,1,UNKNOWN,
full weight,full_weight,1,UNKNOWN,
legal system,legal_system,1,UNKNOWN,
other communities,other_communities,1,UNKNOWN,
International organization,International_organization,1,UNKNOWN,
Natural Cost account,Natural_Cost_account,1,UNKNOWN,
cost incur,cost_incur,1,UNKNOWN,
tragedy -,tragedy_-,1,UNKNOWN,
concern government agencies,concern_government_agencies,2,UNKNOWN,
private owners,private_owners,1,UNKNOWN,
tanker -,tanker_-,1,UNKNOWN,
vice president,vice_president,3,UNKNOWN,
destructive impacts,destructive_impacts,1,UNKNOWN,
fish grounds,fish_grounds,3,UNKNOWN,
productive marine ecosystems,productive_marine_ecosystems,1,UNKNOWN,
higher penalties,higher_penalties,1,UNKNOWN,
accountability measures,accountability_measures,1,UNKNOWN,
PENCAS law,PENCAS_law,1,UNKNOWN,
sunken MT,sunken_MT,5,UNKNOWN,
Tuesday July,Tuesday_July,1,UNKNOWN,
Lieutenant command Michael John Encina,Lieutenant_command_Michael_John_Encina,1,UNKNOWN,
Monday July,Monday_July,2,UNKNOWN,
submerg tanker,submerg_tanker,1,UNKNOWN,
main activity,main_activity,1,UNKNOWN,
siphon process,siphon_process,1,UNKNOWN,
other measures,other_measures,1,UNKNOWN,
conservative estimate,conservative_estimate,1,UNKNOWN,
7-day target,7-day_target,1,UNKNOWN,
last week,last_week,6,UNKNOWN,
Rear Admiral,Rear_Admiral,4,UNKNOWN,
radio interview,radio_interview,2,UNKNOWN,
Monday morn,Monday_morn,1,UNKNOWN,
contract salvor,contract_salvor,2,UNKNOWN,
ship owner,ship_owner,2,UNKNOWN,
Company incorpor,Company_incorpor,1,UNKNOWN,
crew member di,crew_member_di,6,UNKNOWN,
other crew,other_crew,1,UNKNOWN,
000 fisherfolk,000_fisherfolk,3,UNKNOWN,
howev oil,howev_oil,1,UNKNOWN,
only work,only_work,1,UNKNOWN,
calm sea conditions,calm_sea_conditions,1,UNKNOWN,
organization International tanker Owners Pollution Federation limit,organization_International_tanker_Owners_Pollution_Federation_limit,1,UNKNOWN,
concern government officials,concern_government_officials,1,UNKNOWN,
rough weather,rough_weather,1,UNKNOWN,
ITOPF representative,ITOPF_representative,1,UNKNOWN,
effective way,effective_way,1,UNKNOWN,
salvage efforts,salvage_efforts,1,UNKNOWN,
dive operations,dive_operations,1,UNKNOWN,
Sunday July,Sunday_July,1,UNKNOWN,
ship company,ship_company,2,UNKNOWN,
cargo fuel,cargo_fuel,1,UNKNOWN,
unknown amount,unknown_amount,1,UNKNOWN,
PCG response team,PCG_response_team,1,UNKNOWN,
diesel cargo,diesel_cargo,1,UNKNOWN,
initial report,initial_report,1,UNKNOWN,
44-meter Coast Guard vessels,44-meter_Coast_Guard_vessels,1,UNKNOWN,
press time,press_time,1,UNKNOWN,
equipment need,equipment_need,1,UNKNOWN,
salvage operations,salvage_operations,6,UNKNOWN,
initial statement,initial_statement,1,UNKNOWN,
second oil,second_oil,2,UNKNOWN,
industrial fuel oil capsiz,industrial_fuel_oil_capsiz,4,UNKNOWN,
Philippine Coast Guard start,Philippine_Coast_Guard_start,1,UNKNOWN,
Thursday August,Thursday_August,3,UNKNOWN,
oil recovery operations,oil_recovery_operations,1,UNKNOWN,
recov oil,recov_oil,1,UNKNOWN,
waste disposal facility,waste_disposal_facility,2,UNKNOWN,
health risks,health_risks,1,UNKNOWN,
earlier version,earlier_version,1,UNKNOWN,
provincial disast risk reduction,provincial_disast_risk_reduction,1,UNKNOWN,
management office,management_office,1,UNKNOWN,
minimal oil sheens,minimal_oil_sheens,1,UNKNOWN,
light smell,light_smell,1,UNKNOWN,
water samples,water_samples,1,UNKNOWN,
third vessel,third_vessel,4,UNKNOWN,
MKTR Jason Bradley,MKTR_Jason_Bradley,1,UNKNOWN,
past week,past_week,2,UNKNOWN,
income loss,income_loss,1,UNKNOWN,
Wednesday August,Wednesday_August,4,UNKNOWN,
no-catch zone,no-catch_zone,6,UNKNOWN,
shellfish products,shellfish_products,1,UNKNOWN,
Bataan Governor Jose Enrique Garcia,Bataan_Governor_Jose_Enrique_Garcia,1,UNKNOWN,
several coastal towns,several_coastal_towns,4,UNKNOWN,
Cavite Governor Jonvic Remulla,Cavite_Governor_Jonvic_Remulla,3,UNKNOWN,
fishery products,fishery_products,2,UNKNOWN,
fabric metal caps,fabric_metal_caps,1,UNKNOWN,
siphon operations,siphon_operations,4,UNKNOWN,
community assistance,community_assistance,1,UNKNOWN,
other troubl vessels,other_troubl_vessels,4,UNKNOWN,
paihi system,paihi_system,6,UNKNOWN,
May intelligence,May_intelligence,1,UNKNOWN,
Justice Secretary Jesus Crispin boi Remulla,Justice_Secretary_Jesus_Crispin_boi_Remulla,1,UNKNOWN,
DZRH radio interview,DZRH_radio_interview,1,UNKNOWN,
intelligence reports,intelligence_reports,1,UNKNOWN,
large tanker,large_tanker,2,UNKNOWN,
smaller tankers,smaller_tankers,4,UNKNOWN,
Tapos yung,Tapos_yung,1,UNKNOWN,
walang makina,walang_makina,1,UNKNOWN,
ang fuel,ang_fuel,1,UNKNOWN,
Malaki ang,Malaki_ang,1,UNKNOWN,
other vessel,other_vessel,1,UNKNOWN,
huge fuel,huge_fuel,1,UNKNOWN,
large cargo area,large_cargo_area,1,UNKNOWN,
global posit system device,global_posit_system_device,1,UNKNOWN,
Ships Company incorpor capsiz,Ships_Company_incorpor_capsiz,3,UNKNOWN,
industrial fuel oil charter,industrial_fuel_oil_charter,5,UNKNOWN,
Harbor Bulk Terminal Corporation,Harbor_Bulk_Terminal_Corporation,5,UNKNOWN,
start list,start_list,2,UNKNOWN,
anchorage area,anchorage_area,1,UNKNOWN,
Metro Manila,Metro_Manila,5,UNKNOWN,
other parts,other_parts,2,UNKNOWN,
industrial fuel oil hours,industrial_fuel_oil_hours,1,UNKNOWN,
firm Harbor Star,firm_Harbor_Star,1,UNKNOWN,
Harbor Star plug,Harbor_Star_plug,1,UNKNOWN,
oil leak,oil_leak,9,UNKNOWN,
canvas bags,canvas_bags,2,UNKNOWN,
oil leaks,oil_leaks,1,UNKNOWN,
leak valves,leak_valves,2,UNKNOWN,
cleanup operations,cleanup_operations,1,UNKNOWN,
same day,same_day,3,UNKNOWN,
Terranova sail,Terranova_sail,2,UNKNOWN,
Friday August,Friday_August,2,UNKNOWN,
justice chief,justice_chief,2,UNKNOWN,
class action lawsuit,class_action_lawsuit,1,UNKNOWN,
class suit,class_suit,4,UNKNOWN,
August claim,August_claim,1,UNKNOWN,
Monday August,Monday_August,4,UNKNOWN,
delivery destination,delivery_destination,1,UNKNOWN,
possible sa,possible_sa,1,UNKNOWN,
proper permits,proper_permits,1,UNKNOWN,
Philippine Ports Authority,Philippine_Ports_Authority,1,UNKNOWN,
reputable oil companies,reputable_oil_companies,2,UNKNOWN,
legitimate contract Guard,legitimate_contract_Guard,1,UNKNOWN,
legitimate contract,legitimate_contract,1,UNKNOWN,
Cavite Governor Jonvic,Cavite_Governor_Jonvic,1,UNKNOWN,
whole coastal district,whole_coastal_district,1,UNKNOWN,
Cavite governor,Cavite_governor,1,UNKNOWN,
Bataan oil,Bataan_oil,5,UNKNOWN,
estim cost,estim_cost,6,UNKNOWN,
Fisherfolk group,Fisherfolk_group,1,UNKNOWN,
Dapat hindi,Dapat_hindi,1,UNKNOWN,
Philippine Coast Guard na,Philippine_Coast_Guard_na,1,UNKNOWN,
San Miguel Corporation,San_Miguel_Corporation,2,UNKNOWN,
vice chairperson,vice_chairperson,2,UNKNOWN,
Ito rin,Ito_rin,1,UNKNOWN,
company involv,company_involv,1,UNKNOWN,
Philippine Coast Guard confirm,Philippine_Coast_Guard_confirm,1,UNKNOWN,
same company involv,same_company_involv,1,UNKNOWN,
disastrous oil spill,disastrous_oil_spill,5,UNKNOWN,
food packs,food_packs,2,UNKNOWN,
612 fisherfolk,612_fisherfolk,1,UNKNOWN,
Philippine Coast Guard PCCG personnel,Philippine_Coast_Guard_PCCG_personnel,1,UNKNOWN,
Sta Rosa Agence France-Presse Philippine Coast Guard PCCG personnel,Sta_Rosa_Agence_France-Presse_Philippine_Coast_Guard_PCCG_personnel,1,UNKNOWN,
Sta Rosa Agence France-Presse BATAAN Philippines,Sta_Rosa_Agence_France-Presse_BATAAN_Philippines,1,UNKNOWN,
plan Friday,plan_Friday,1,UNKNOWN,
oil dispersant,oil_dispersant,2,UNKNOWN,
float barriers,float_barriers,2,UNKNOWN,
industrial fuel,industrial_fuel,14,UNKNOWN,
rough seas,rough_seas,7,UNKNOWN,
municipality early Thursday,municipality_early_Thursday,2,UNKNOWN,
central city,central_city,2,UNKNOWN,
several kilometers,several_kilometers,2,UNKNOWN,
tourism operators,tourism_operators,2,UNKNOWN,
READ tanker,READ_tanker,2,UNKNOWN,
oil sinks,oil_sinks,2,UNKNOWN,
work fuel leaks,work_fuel_leaks,2,UNKNOWN,
Armando Balilo,Armando_Balilo,1,UNKNOWN,
brief Thursday,brief_Thursday,2,UNKNOWN,
industrial fuel oil cargo,industrial_fuel_oil_cargo,3,UNKNOWN,
worst oil spill,worst_oil_spill,6,UNKNOWN,
heavy rains fuel,heavy_rains_fuel,2,UNKNOWN,
name Carina,name_Carina,1,UNKNOWN,
seasonal monsoon,seasonal_monsoon,2,UNKNOWN,
surround regions,surround_regions,2,UNKNOWN,
late Wednesday,late_Wednesday,3,UNKNOWN,
captain decid,captain_decid,4,UNKNOWN,
large waves,large_waves,3,UNKNOWN,
Campaign group,Campaign_group,2,UNKNOWN,
Terra Nova,Terra_Nova,6,UNKNOWN,
READ Oil spill,READ_Oil_spill,2,UNKNOWN,
worst oil,worst_oil,2,UNKNOWN,
central island,central_island,4,UNKNOWN,
Diesel fuel,Diesel_fuel,3,UNKNOWN,
thick oil,thick_oil,2,UNKNOWN,
Oriental Mindoro province,Oriental_Mindoro_province,2,UNKNOWN,
tourism industries,tourism_industries,2,UNKNOWN,
oil dispers,oil_dispers,2,UNKNOWN,
diverse marine life,diverse_marine_life,2,UNKNOWN,
daily newslett,daily_newslett,12,UNKNOWN,
email address,email_address,12,UNKNOWN,
spill tens,spill_tens,2,UNKNOWN,
marine reserve,marine_reserve,2,UNKNOWN,
local fish grounds,local_fish_grounds,2,UNKNOWN,
cover stretches,cover_stretches,2,UNKNOWN,
black sludge,black_sludge,2,UNKNOWN,
sea—a tragedy,sea—a_tragedy,1,UNKNOWN,
small comfort,small_comfort,1,UNKNOWN,
work fuel,work_fuel,8,UNKNOWN,
vessel head,vessel_head,1,UNKNOWN,
Manila Bay early Thursday,Manila_Bay_early_Thursday,1,UNKNOWN,
Carina left devastation,Carina_left_devastation,1,UNKNOWN,
Friday reports,Friday_reports,1,UNKNOWN,
slick stretch,slick_stretch,1,UNKNOWN,
wind direction,wind_direction,2,UNKNOWN,
sea currents,sea_currents,1,UNKNOWN,
weather bureau,weather_bureau,1,UNKNOWN,
typhoon signal,typhoon_signal,1,UNKNOWN,
ships captain,ships_captain,1,UNKNOWN,
Philippine Atmospheric Geophysical,Philippine_Atmospheric_Geophysical,1,UNKNOWN,
Astronomical Services Administration,Astronomical_Services_Administration,1,UNKNOWN,
regular weather bulletins,regular_weather_bulletins,1,UNKNOWN,
Tuesday warn,Tuesday_warn,1,UNKNOWN,
eastern seaboards,eastern_seaboards,2,UNKNOWN,
Northern Luzon,Northern_Luzon,1,UNKNOWN,
Central Luzon,Central_Luzon,1,UNKNOWN,
other factors,other_factors,3,UNKNOWN,
bad weather conditions,bad_weather_conditions,1,UNKNOWN,
first authorities,first_authorities,1,UNKNOWN,
international support—the PCG,international_support—the_PCG,1,UNKNOWN,
shallow area,shallow_area,2,UNKNOWN,
Most ships,Most_ships,1,UNKNOWN,
heavy fuel oil,heavy_fuel_oil,2,UNKNOWN,
Shogun Ships Company Inc,Shogun_Ships_Company_Inc,1,UNKNOWN,
ships owner,ships_owner,1,UNKNOWN,
possible environmental damage,possible_environmental_damage,1,UNKNOWN,
companies contract,companies_contract,1,UNKNOWN,
shoreline cleanup,shoreline_cleanup,1,UNKNOWN,
oily waste,oily_waste,2,UNKNOWN,
last years oil,last_years_oil,1,UNKNOWN,
Verde Island,Verde_Island,2,UNKNOWN,
important area,important_area,1,UNKNOWN,
total damage,total_damage,1,UNKNOWN,
dependent coastal communities,dependent_coastal_communities,1,UNKNOWN,
Energy Ecology,Energy_Ecology,1,UNKNOWN,
Development place,Development_place,1,UNKNOWN,
recent oil,recent_oil,1,UNKNOWN,
top criticism,top_criticism,1,UNKNOWN,
Local communities,Local_communities,2,UNKNOWN,
immediate response,immediate_response,1,UNKNOWN,
several laws,several_laws,1,UNKNOWN,
oil spills,oil_spills,3,UNKNOWN,
legal process,legal_process,1,UNKNOWN,
norm howev,norm_howev,1,UNKNOWN,
full extent,full_extent,1,UNKNOWN,
rich companies,rich_companies,1,UNKNOWN,
damage caus,damage_caus,3,UNKNOWN,
country director,country_director,1,UNKNOWN,
visible effect,visible_effect,1,UNKNOWN,
visible sign,visible_sign,1,UNKNOWN,
marine life,marine_life,3,UNKNOWN,
compound effects,compound_effects,1,UNKNOWN,
healthy marine environment,healthy_marine_environment,1,UNKNOWN,
Marcos administration,Marcos_administration,2,UNKNOWN,
latest disaster—the government,latest_disaster—the_government,1,UNKNOWN,
future incidents,future_incidents,1,UNKNOWN,
heavy toll,heavy_toll,1,UNKNOWN,
ordinary Filipinos,ordinary_Filipinos,1,UNKNOWN,
composite image,composite_image,2,UNKNOWN,
PDI file photos,PDI_file_photos,1,UNKNOWN,
PDI file,PDI_file,1,UNKNOWN,
sunken vessels,sunken_vessels,3,UNKNOWN,
significant portion,significant_portion,1,UNKNOWN,
Bataan authorities,Bataan_authorities,1,UNKNOWN,
urgent warnings,urgent_warnings,1,UNKNOWN,
severe health,severe_health,1,UNKNOWN,
environmental disast,environmental_disast,1,UNKNOWN,
environmental organizations,environmental_organizations,1,UNKNOWN,
health authorities,health_authorities,1,UNKNOWN,
escal crisis,escal_crisis,1,UNKNOWN,
preventive measures,preventive_measures,1,UNKNOWN,
international ocean protection,international_ocean_protection,1,UNKNOWN,
conservation group,conservation_group,1,UNKNOWN,
toxic spill,toxic_spill,1,UNKNOWN,
grave threat,grave_threat,1,UNKNOWN,
surround provinces,surround_provinces,1,UNKNOWN,
dead oil,dead_oil,1,UNKNOWN,
super Typhoon,super_Typhoon,2,UNKNOWN,
ship company claim,ship_company_claim,1,UNKNOWN,
fuel cargo,fuel_cargo,1,UNKNOWN,
latest incident,latest_incident,1,UNKNOWN,
net accord,net_accord,1,UNKNOWN,
online platform creat,online_platform_creat,1,UNKNOWN,
renown marine conservation organization,renown_marine_conservation_organization,1,UNKNOWN,
crucial spawn ground,crucial_spawn_ground,1,UNKNOWN,
key source,key_source,1,UNKNOWN,
vital mangroves,vital_mangroves,1,UNKNOWN,
seagrass beds,seagrass_beds,1,UNKNOWN,
marine species,marine_species,1,UNKNOWN,
migratory bird species,migratory_bird_species,1,UNKNOWN,
migration season,migration_season,1,UNKNOWN,
long-term ecological damage,long-term_ecological_damage,1,UNKNOWN,
coastal nation,coastal_nation,1,UNKNOWN,
further risk,further_risk,1,UNKNOWN,
recovery operations,recovery_operations,2,UNKNOWN,
Photos share,Photos_share,1,UNKNOWN,
PCGs official,PCGs_official,1,UNKNOWN,
page show personnel,page_show_personnel,1,UNKNOWN,
collect oil,collect_oil,1,UNKNOWN,
large drums,large_drums,1,UNKNOWN,
potential health hazards,potential_health_hazards,1,UNKNOWN,
local residents,local_residents,1,UNKNOWN,
oil recovery,oil_recovery,2,UNKNOWN,
simulation exercise,simulation_exercise,1,UNKNOWN,
hot tap,hot_tap,3,UNKNOWN,
water mix,water_mix,1,UNKNOWN,
Harbor Star ship Services Inc,Harbor_Star_ship_Services_Inc,1,UNKNOWN,
salvor contract,salvor_contract,1,UNKNOWN,
water depth,water_depth,1,UNKNOWN,
fish villages,fish_villages,1,UNKNOWN,
Ternate Marine Park,Ternate_Marine_Park,1,UNKNOWN,
popular beach destination,popular_beach_destination,1,UNKNOWN,
nest ground,nest_ground,1,UNKNOWN,
sea turtles,sea_turtles,1,UNKNOWN,
Kawit Noveleta,Kawit_Noveleta,1,UNKNOWN,
Naic Maragondon,Naic_Maragondon,1,UNKNOWN,
Philippine disast Risk Reduction,Philippine_disast_Risk_Reduction,1,UNKNOWN,
Management Act,Management_Act,1,UNKNOWN,
mass casualty,mass_casualty,1,UNKNOWN,
major damages,major_damages,1,UNKNOWN,
property disruption,property_disruption,1,UNKNOWN,
normal way,normal_way,1,UNKNOWN,
affect areas,affect_areas,3,UNKNOWN,
areas impact,areas_impact,1,UNKNOWN,
human consumption,human_consumption,8,UNKNOWN,
T Bureau Bureau,T_Bureau_Bureau,1,UNKNOWN,
